candle_time,symbol,open,high,low,close,supertrend,supertrend_dir,demarker,fast_ma,slow_ma,stoch_k,stoch_d,wpr_9,wpr_28
2026-03-09T11:49:00,NIFTY2631023900CE,207.7,208.5,202.45,203.15,227.89,-1.0,0.53,210.86,212.44,11.34,11.82,-87.03,-50.29
2026-03-09T11:50:00,NIFTY2631023900CE,203.5,206.85,198.1,206.0,225.98,-1.0,0.51,208.57,211.91,5.4,10.03,-68.71,-45.49
2026-03-09T11:51:00,NIFTY2631023900CE,206.0,206.4,200.0,201.35,225.96,-1.0,0.47,206.91,209.55,2.82,6.52,-84.95,-53.33
2026-03-09T11:52:00,NIFTY2631023900CE,201.8,208.0,200.95,204.35,225.96,-1.0,0.47,206.43,207.53,5.8,4.67,-67.28,-48.27
2026-03-09T11:53:00,NIFTY2631023900CE,203.85,205.15,197.4,200.25,223.23,-1.0,0.4,205.27,206.07,2.97,3.86,-85.61,-55.18
2026-03-09T11:54:00,NIFTY2631023900CE,199.85,202.25,197.9,201.75,220.92,-1.0,0.23,204.98,205.44,4.57,4.45,-78.03,-59.24
2026-03-09T11:55:00,NIFTY2631023900CE,201.75,201.75,193.9,196.5,218.55,-1.0,0.21,203.88,204.15,1.6,3.05,-88.84,-69.79
2026-03-09T11:56:00,NIFTY2631023900CE,196.35,201.35,195.75,199.45,218.55,-1.0,0.27,202.36,203.7,8.02,4.73,-72.79,-73.57
2026-03-09T11:57:00,NIFTY2631023900CE,200.05,206.55,197.4,202.55,218.55,-1.0,0.4,201.71,203.36,19.41,9.68,-40.75,-66.78
2026-03-09T11:58:00,NIFTY2631023900CE,204.3,204.3,194.6,196.6,218.55,-1.0,0.38,200.98,201.85,20.31,15.91,-80.85,-79.82
2026-03-09T11:59:00,NIFTY2631023900CE,196.65,199.4,194.4,197.1,216.8,-1.0,0.42,199.99,200.82,15.95,18.55,-77.3,-78.73
2026-03-09T12:00:00,NIFTY2631023900CE,197.1,198.9,189.0,189.1,214.34,-1.0,0.41,198.63,199.55,2.96,13.07,-99.47,-96.27
2026-03-09T12:01:00,NIFTY2631023900CE,189.2,194.45,188.2,194.45,211.24,-1.0,0.21,197.53,198.5,13.58,10.83,-65.94,-86.05
2026-03-09T12:02:00,NIFTY2631023900CE,195.8,197.45,191.35,192.4,211.24,-1.0,0.27,196.66,197.68,20.83,12.46,-77.11,-90.62
2026-03-09T12:03:00,NIFTY2631023900CE,192.3,192.3,184.7,185.4,207.93,-1.0,0.26,194.84,195.96,20.83,18.41,-96.8,-98.55
2026-03-09T12:04:00,NIFTY2631023900CE,185.2,199.45,184.55,196.35,207.93,-1.0,0.42,194.82,195.6,34.59,25.41,-46.36,-75.64
2026-03-09T12:05:00,NIFTY2631023900CE,195.05,195.65,186.7,186.8,207.93,-1.0,0.42,193.42,194.25,33.99,29.8,-89.77,-95.36
2026-03-09T12:06:00,NIFTY2631023900CE,188.5,189.9,183.4,185.2,207.63,-1.0,0.36,191.49,193.22,40.6,36.39,-91.39,-96.37
2026-03-09T12:07:00,NIFTY2631023900CE,185.55,186.9,179.75,180.1,203.99,-1.0,0.36,189.66,191.46,15.31,29.97,-98.22,-99.34
2026-03-09T12:08:00,NIFTY2631023900CE,179.65,181.0,176.45,177.3,198.46,-1.0,0.34,187.46,189.16,6.6,20.84,-96.3,-98.5
2026-03-09T12:09:00,NIFTY2631023900CE,177.75,177.95,171.3,171.3,194.05,-1.0,0.33,185.48,186.86,0.0,7.3,-100.0,-100.0
2026-03-09T12:10:00,NIFTY2631023900CE,171.35,173.05,166.65,172.05,188.93,-1.0,0.3,182.99,184.59,1.48,2.69,-83.54,-89.82
2026-03-09T12:11:00,NIFTY2631023900CE,172.45,182.35,172.45,178.75,188.93,-1.0,0.35,181.47,183.65,17.67,6.38,-63.11,-76.06
2026-03-09T12:12:00,NIFTY2631023900CE,179.55,179.7,175.5,177.0,188.93,-1.0,0.37,180.54,182.06,31.38,16.85,-68.45,-79.53
2026-03-09T12:13:00,NIFTY2631023900CE,176.8,177.8,173.85,175.45,188.93,-1.0,0.36,178.22,180.52,41.37,30.14,-69.66,-82.59
2026-03-09T12:14:00,NIFTY2631023900CE,176.0,177.05,173.5,176.65,188.93,-1.0,0.4,177.09,179.72,39.44,37.4,-56.99,-80.22
2026-03-09T12:15:00,NIFTY2631023900CE,176.8,179.5,175.8,177.65,188.93,-1.0,0.43,176.25,178.02,42.43,41.08,-45.68,-76.92
2026-03-09T12:16:00,NIFTY2631023900CE,177.45,178.15,174.95,175.15,188.93,-1.0,0.39,175.7,176.96,43.38,41.75,-45.86,-79.69
2026-03-09T12:17:00,NIFTY2631023900CE,175.5,180.55,174.85,176.8,188.93,-1.0,0.48,175.64,176.2,45.86,43.89,-35.35,-75.45
2026-03-09T12:18:00,NIFTY2631023900CE,176.85,179.4,173.8,174.6,188.93,-1.0,0.37,176.01,175.7,50.96,46.73,-49.36,-80.77
2026-03-09T12:19:00,NIFTY2631023900CE,174.25,174.4,172.1,173.25,187.53,-1.0,0.35,176.14,175.33,58.26,51.69,-88.78,-84.04
2026-03-09T12:20:00,NIFTY2631023900CE,172.75,172.75,168.35,170.65,184.63,-1.0,0.35,175.24,175.27,52.39,53.87,-81.15,-89.97
2026-03-09T12:21:00,NIFTY2631023900CE,171.0,178.1,169.1,178.1,184.63,-1.0,0.46,175.37,175.82,63.92,58.19,-20.08,-71.3
2026-03-09T12:22:00,NIFTY2631023900CE,177.7,179.0,172.3,172.7,184.63,-1.0,0.51,175.06,175.27,64.35,60.22,-64.34,-84.84
2026-03-09T12:23:00,NIFTY2631023900CE,172.65,173.5,169.4,171.9,184.63,-1.0,0.55,174.53,174.81,70.71,66.32,-70.9,-86.84
2026-03-09T12:24:00,NIFTY2631023900CE,172.6,180.8,172.6,180.5,184.63,-1.0,0.69,174.85,175.27,70.71,68.59,-2.41,-65.29
2026-03-09T12:25:00,NIFTY2631023900CE,180.55,181.3,176.5,178.15,184.63,-1.0,0.6,175.18,175.4,78.45,73.29,-24.32,-69.46
2026-03-09T12:26:00,NIFTY2631023900CE,177.75,184.35,177.75,183.65,184.63,-1.0,0.64,175.94,175.95,94.55,81.24,-4.37,-48.17
2026-03-09T12:27:00,NIFTY2631023900CE,183.55,183.95,179.7,180.7,184.63,-1.0,0.67,176.62,176.45,88.72,87.24,-22.81,-57.16
2026-03-09T12:28:00,NIFTY2631023900CE,180.6,181.85,174.85,174.85,184.63,-1.0,0.59,176.8,176.28,77.8,87.02,-59.38,-75.0
2026-03-09T12:29:00,NIFTY2631023900CE,174.1,177.7,173.7,177.6,184.63,-1.0,0.54,177.57,176.55,67.07,77.86,-44.26,-66.62
2026-03-09T12:30:00,NIFTY2631023900CE,178.45,181.5,177.8,181.0,184.63,-1.0,0.6,177.89,177.25,68.86,71.24,-22.41,-56.25
2026-03-09T12:31:00,NIFTY2631023900CE,180.2,182.35,172.9,181.05,184.63,-1.0,0.52,178.82,178.2,81.28,72.41,-22.07,-56.1
2026-03-09T12:32:00,NIFTY2631023900CE,181.35,181.45,172.15,174.45,184.63,-1.0,0.52,179.11,177.87,75.37,75.17,-81.15,-73.1
2026-03-09T12:33:00,NIFTY2631023900CE,173.85,176.3,173.85,175.4,184.63,-1.0,0.54,178.54,178.11,64.89,73.85,-73.36,-62.37
2026-03-09T12:34:00,NIFTY2631023900CE,175.3,178.45,169.7,169.8,184.63,-1.0,0.56,177.61,177.92,36.65,58.97,-99.32,-84.44
2026-03-09T12:35:00,NIFTY2631023900CE,169.2,172.35,166.7,171.65,184.63,-1.0,0.46,176.28,177.12,26.92,42.82,-71.3,-71.75
